2012-06-18,99.62
2012-06-19,99.57
2012-06-20,97.31
2012-06-21,95.35
2012-06-22,95.49
2012-06-25,95.19
2012-06-26,95.08
2012-06-27,94.45
2012-06-28,93.51
2012-06-29,94.12
2012-07-02,93.79
2012-07-03,93.66
2012-07-05,94.11
2012-07-06,92.94
2012-07-09,91.53
2012-07-10,91.16
2012-07-11,90.71
2012-07-12,90.73
2012-07-13,90.31
2012-07-16,90.35
2012-07-17,90.97
2012-07-18,90.11
2012-07-19,90.19
2012-07-20,89.96
2012-07-23,90.14
2012-07-24,90.07
2012-07-25,90.08
2012-07-26,90.05
2012-07-27,91.54
2012-07-30,92.29
2012-07-31,90.91
2012-08-01,92.11
2012-08-02,92.36
2012-08-03,93.02
2012-08-06,93.32
2012-08-07,93.23
2012-08-08,94.23
2012-08-09,95.82
2012-08-10,93.4
2012-08-13,93.11
2012-08-14,94.38
2012-08-15,96.87
2012-08-16,97.7
2012-08-17,97.05
2012-08-20,96.17
2012-08-21,96.13
2012-08-22,94.9
2012-08-23,93.85
2012-08-24,92.83
2012-08-27,93.5
2012-08-28,94.02
2012-08-29,94.82
2012-08-30,94.78
2012-08-31,94.35
2012-09-04,93.4
2012-09-05,93.22
2012-09-06,93.42
2012-09-07,93.7
2012-09-10,93.68
2012-09-11,93.73
2012-09-12,95.47
2012-09-13,94.63
2012-09-14,94.31
2012-09-17,93.46
2012-09-18,92.53
2012-09-19,91.98
2012-09-20,90.28
2012-09-21,90.35
2012-09-24,89.15
2012-09-25,89.08
2012-09-26,88.71
2012-09-27,88.3
2012-09-28,87.64
2012-10-01,88.16
2012-10-02,87.86
2012-10-03,89.53
2012-10-04,88.12
2012-10-05,88.68
2012-10-08,87.17
2012-10-09,87.19
2012-10-10,86.65
2012-10-11,85.81
2012-10-12,85.66
2012-10-15,85.59
2012-10-16,87.74
2012-10-17,88.5
2012-10-18,89.69
2012-10-19,89.33
2012-10-22,88.51
2012-10-23,88.47
2012-10-24,88.39
2012-10-25,89.09
2012-10-26,87.9
2012-10-31,88.01
2012-11-01,87.91
2012-11-02,88.21
2012-11-05,87.68
2012-11-06,87.05
2012-11-07,85.89
2012-11-08,83.57
2012-11-09,84.01
2012-11-12,83.97
2012-11-13,83.94
2012-11-14,84.45
2012-11-15,84.47
2012-11-16,84.25
2012-11-19,84.41
2012-11-20,84.65
2012-11-21,85.19
2012-11-23,85.53
2012-11-26,84.62
2012-11-27,84.07
2012-11-28,83.51
2012-11-29,83.97
2012-11-30,83.49
2012-12-03,83.54
2012-12-04,82.34
2012-12-05,82.38
2012-12-06,81.87
2012-12-07,81.84
2012-12-10,81.76
2012-12-11,81.51
2012-12-12,81.83
2012-12-13,82.54
2012-12-14,82.77
2012-12-17,84.02
2012-12-18,85.98
2012-12-19,85.14
2012-12-20,84.27
2012-12-21,84.1
2012-12-24,82.4
2012-12-26,82.39
2012-12-27,82.27
2012-12-28,82.26
2012-12-31,82.48
2013-01-02,83.55
2013-01-03,83.03
2013-01-04,82.95
2013-01-07,82.51
2013-01-08,82.41
2013-01-09,82.06
2013-01-10,82.67
2013-01-11,82.41
2013-01-14,83.46
2013-01-15,80.61
2013-01-16,80.72
2013-01-17,81.69
2013-01-18,81.9
2013-01-22,82.32
2013-01-23,82.35
2013-01-24,82.68
2013-01-25,83.76
2013-01-28,84.81
2013-01-29,84.3
2013-01-30,84.73
2013-01-31,84.41
2013-02-01,84.94
2013-02-04,85.74
2013-02-05,85.95
2013-02-06,86.15
2013-02-07,84.9
2013-02-08,84.94
2013-02-11,84.45
2013-02-12,84.52
2013-02-13,85.1
2013-02-14,84.88
2013-02-15,84.45
2013-02-19,83.23
2013-02-20,83.13
2013-02-21,82.99
